"Tahun","Jumlah Kejadian Bencana","Korban Meninggal dan Hilang","Korban Luka-luka","Korban Menderita dan Mengungsi"
"2000","63","302","127","0"
"2001","75","118","33","3038"
"2002","143","430","81823","1019297"
"2003","403","963","17818","727507"
"2004","775","166388","6973","1897710"
"2005","597","1278","6715","368827"
"2006","742","7396","86049","3281112"
"2007","818","730","28688","1965578"
"2008","928","304","70606","5254147"
"2009","1246","1767","5160","5533241"
"2010","1948","1907","35730","1663103"
"2011","1623","428","692","475529"
"2012","1782","320","1198","954241"
"2013","1667","512","3410","3892986"
"2014","1965","604","2104","2814265"
"2015","1694","276","370","1227929"
"2016","2308","578","2675","3162491"
"2017","2869","378","1042","3674369"
"2018","2573","4814","21083","10239533"
"2019","430","0","153","0"
